"Bono","Moneda","Fecha_Vencimiento","Fecha_Licitacion","Cupo","Monto_Demandado","Monto_Asignado","Tasa_Corte","BTC"
"BTU0001028","UF",2028-10-01,2022-08-10,4200,5360,2640,1.8,1.27619047619048
"BTU0001033","UF",2033-10-01,2022-08-10,2500,5730,2500,1.89,2.292
"BTU0210750","UF",2050-07-15,2022-08-10,3000,8120,3000,2.07,2.70666666666667
"BTU0001033","UF",2033-10-01,2022-08-24,7500,16070,7390,2.29,2.14266666666667
"BTU0210750","UF",2050-07-15,2022-08-24,2070,5680,2070,2.3,2.74396135265701
"BTU0001033","UF",2033-10-01,2022-09-14,7500,18260,7360,2.05,2.43466666666667
"BTP0700534","CLP",2034-05-01,2022-10-21,NA,NA,1e+06,6.95,NA
"BTP0000823","CLP",2023-08-15,2023-02-15,1250000,3427000,1250000,11.05,2.7416
"BTP0000823","CLP",2023-08-15,2023-02-21,1250000,2500000,1250000,11.05,2
"BTP0000724","CLP",2024-07-15,2023-02-21,1200000,3280000,1200000,8.9,2.73333333333333
"BTP0600433","CLP",2033-04-01,2023-04-13,3e+05,868600,3e+05,5.34,2.89533333333333
"BTP0510750","CLP",2050-07-15,2023-04-13,220000,600600,220000,5.25,2.73
"BTU0001033","UF",2033-10-01,2023-04-13,7000,10980,7000,1.84,1.56857142857143
"BTU0210750","UF",2050-07-15,2023-04-13,7000,13710,7000,1.74,1.95857142857143
"BTP0600433","CLP",2033-04-01,2023-04-26,3e+05,576800,298800,5.33,1.92266666666667
"BTU0001033","UF",2033-10-01,2023-04-26,3000,8580,2980,1.8,2.86
"BTP0600433","CLP",2033-04-01,2023-05-03,3e+05,590400,3e+05,5.4,1.968
"BTU0001033","UF",2033-10-01,2023-05-03,3000,7120,3000,1.84,2.37333333333333
"BTP0510750","CLP",2050-07-15,2023-05-17,1e+05,344400,1e+05,5.25,3.444
"BTU0210750","UF",2050-07-15,2023-05-17,6000,7380,5480,1.95,1.23
"BTP0510750","CLP",2050-07-15,2023-06-14,120000,279000,120000,5.19,2.325
"BTU0210750","UF",2050-07-15,2023-06-14,5500,11780,5500,1.93,2.14181818181818
"BTU0001033","UF",2033-10-01,2023-06-28,2000,5200,2000,1.93,2.6
"BTU0001033","UF",2033-10-01,2023-07-12,2000,4000,2000,2.3,2
"BTP0510750","CLP",2050-07-15,2023-07-19,120000,286400,119400,5.25,2.38666666666667
"BTU0210750","UF",2050-07-15,2023-07-19,6000,11170,5970,2.1,1.86166666666667
"BTP0001124","CLP",2024-11-26,2024-02-27,750000,1524000,748000,5.49,2.032
"BTP0001024","CLP",2024-10-25,2024-03-05,7e+05,1323000,7e+05,5.97,1.89
"BTP0001124","CLP",2024-11-26,2024-03-12,6e+05,787000,6e+05,5.82,1.31166666666667
"BTP0001024","CLP",2024-10-25,2024-03-19,5e+05,617000,5e+05,6.5,1.234
"BTP0001024","CLP",2024-10-25,2024-03-26,5e+05,995000,5e+05,6.19,1.99
"BTU0001028","UF",2028-10-01,2024-04-23,2000,4870,2000,2.89,2.435
"BTP0000429","CLP",2029-04-01,2024-06-04,2e+05,485000,2e+05,5.65,2.425
"BTP0000527","CLP",2027-05-06,2024-06-11,3e+05,373200,250000,5.67,1.244
"BTP0000429","CLP",2029-04-01,2024-06-13,1e+05,336600,1e+05,5.55,3.366
"BTU0001028","UF",2028-10-01,2024-06-13,2000,3050,800,2.73,1.525
"BTP0000527","CLP",2027-05-06,2024-06-19,3e+05,232000,225000,5.95,0.773333333333333
"BTU0001028","UF",2028-10-01,2024-06-19,2000,3650,2000,2.85,1.825
"BTP0000429","CLP",2029-04-01,2024-06-25,150000,284000,150000,6,1.89333333333333
"BTP0000527","CLP",2027-05-06,2024-06-27,3e+05,474800,3e+05,6.02,1.58266666666667
"BTU0001028","UF",2028-10-01,2024-06-27,2000,4650,2000,2.85,2.325
"BTP0001124","CLP",2024-11-26,2024-07-03,350000,1885400,350000,5.49,5.38685714285714
"BTU0001028","UF",2028-10-01,2024-07-03,1600,3000,1200,2.87,1.875
"BTP0621040","CLP",2040-10-01,2024-07-11,80000,153000,80000,6.14,1.9125
"BTU0300144","UF",2044-01-01,2024-07-11,1500,3450,1500,2.9,2.3
"BTU0190930","UF",2030-09-01,2024-07-17,2000,5690,2000,2.92,2.845
"BTU0281155","UF",2055-11-01,2024-07-17,2000,6110,2000,2.8,3.055
"BTP0491127","CLP",2027-11-01,2024-07-23,150000,410200,150000,5.75,2.73466666666667
"BTP0510750","CLP",2050-07-15,2024-07-23,80000,170000,80000,6.08,2.125
"BTU0001028","UF",2028-10-01,2024-07-25,1600,5500,1600,2.45,3.4375
"BTU0190930","UF",2030-09-01,2024-07-25,2000,10810,2000,2.75,5.405
"BTU0281155","UF",2055-11-01,2024-07-25,2500,4130,2500,2.7,1.652
"BTP0581029","CLP",2029-10-01,2024-07-30,NA,NA,1300000,6,NA
"BTP0621040","CLP",2040-10-01,2024-08-13,80000,208000,80000,5.74,2.6
"BTU0300144","UF",2044-01-01,2024-08-13,1490,3690,1490,2.55,2.47651006711409
"BTP0491127","CLP",2027-11-01,2024-08-20,150000,266000,150000,5.65,1.77333333333333
"BTP0510750","CLP",2050-07-15,2024-08-20,80000,214600,80000,5.57,2.6825
"BTU0190930","UF",2030-09-01,2024-08-20,2000,5950,2000,2.35,2.975
"BTU0281155","UF",2055-11-01,2024-08-20,2000,5920,2000,2.42,2.96
"BTU0190930","UF",2030-09-01,2024-08-22,2000,4750,2000,2.38,2.375
"BTU0281155","UF",2055-11-01,2024-08-22,2000,6010,2000,2.34,3.005
"BTP0581029","CLP",2029-10-01,2024-08-27,80000,364000,80000,5.63,4.55
"BTU0001028","UF",2028-10-01,2024-08-27,2000,5030,2000,2.37,2.515
"BTP0491127","CLP",2027-11-01,2024-09-10,150000,297000,146000,5.2,1.98
"BTP0581029","CLP",2029-10-01,2024-09-10,80000,343800,80000,5.23,4.2975
"BTP0621040","CLP",2040-10-01,2024-09-10,80000,221000,80000,5.28,2.7625
"BTU0281155","CLF",2055-11-01,2024-09-10,3000,8080,3000,2.07,2.69333333333333
"BTP0581029","CLP",2029-10-01,2024-09-26,80000,193000,80000,5.26,2.4125
