"Periodo","Non_Residents","Banks","Insurers","Local_Pension_Funds","Other_Financial","Other"
2025-03-01,0.2496791971036,0.209073373758143,0.0745130252321852,0.226627298180453,0.227442549568867,0.0126645561567523
2025-04-01,0.248155371474712,0.208094367446442,0.073592781641961,0.226415435824229,0.230801338519827,0.0129407050928298
2025-05-01,0.244766062558622,0.215117515846744,0.0751986830521541,0.225354605793101,0.226584650606024,0.0129784821433551
2025-06-01,0.250744925064868,0.215196966329595,0.0750855981496502,0.221490541388159,0.224537140274052,0.0129448287936757
2025-07-01,0.246590021079743,0.215728960095788,0.0760103820027394,0.220792695232423,0.227825848714563,0.0130520928747431
2025-08-01,0.251982273338318,0.206655161585206,0.0757116521179467,0.218564925626419,0.233984495219213,0.0131014921128979
2025-09-01,0.268471983006202,0.196128096872773,0.0754953051285545,0.217683705080069,0.229466569209088,0.0127543407033139
2025-10-01,0.257395608280044,0.202284842021699,0.0751307168718623,0.218213987859724,0.234227426294467,0.0127474186722039
2025-11-01,0.248347256787694,0.204573835572767,0.0730295502109017,0.216698139010559,0.246150103424716,0.0112011149933621
2025-12-01,0.249860465919816,0.202437470345039,0.0746310830630288,0.224668000279837,0.237405230610346,0.0109977497819329
2026-01-01,0.256647721443773,0.202261189095499,0.075857086466801,0.224508409758835,0.230766265692455,0.0099593275426372
2026-02-01,0.260156583015875,0.206793312949597,0.0761780850455469,0.223124243237403,0.224439966927193,0.0093078088243859
2026-03-01,0.244241259645519,0.202560114066381,0.0726323780764177,0.22752722223112,0.243206204035684,0.00983282194487797
2026-04-01,0.248432562454484,0.198903011378942,0.0738859352995213,0.228326437885767,0.24089100687671,0.00956104610457607
2026-05-01,0.249356762817613,0.198048810748193,0.0744890799475012,0.229320691501763,0.239587374550593,0.00919728043433657
2026-06-01,0.248255247171223,0.210530918219364,0.0761427342780754,0.226027615493377,0.227007553979809,0.0120359308581516
