"Moneda","Madurez","Fecha_Licitacion","Monto","Tasa","Tenor"
"CLP",2030-09-01,2024-10-03,75000,5.31,"CP"
"CLP",2040-10-01,2024-10-03,90000,5.16,"LP"
"CLP",2029-10-01,2024-10-09,60000,5.47,"LP"
"CLP",2033-04-01,2024-10-09,99000,5.57,"LP"
"CLP",2056-04-01,2024-10-09,80000,4.83,"CP"
"CLP",2030-09-01,2024-10-16,60000,5.49,"CP"
"CLP",2040-10-01,2024-10-16,80000,5.39,"LP"
"CLP",2055-11-01,2024-10-16,1000,1.84,"LP"
"CLP",2029-10-01,2024-10-22,49000,5.6,"LP"
"CLP",2033-04-01,2024-10-22,55000,5.73,"LP"
"CLP",2056-04-01,2024-10-22,71600,4.92,"CP"
"CLP",2027-11-01,2024-10-24,50000,5.3,"LP"
"CLP",2030-09-01,2024-10-24,60000,5.71,"CP"
"CLP",2040-10-01,2024-10-24,55000,5.52,"LP"
"CLP",2029-10-01,2024-11-12,55000,5.83,"LP"
"CLP",2040-10-01,2024-11-12,60000,5.49,"LP"
"CLP",2056-04-01,2024-11-12,70000,5.15,"CP"
"CLP",2055-11-01,2024-11-12,1930,1.94,"LP"
"CLP",2027-11-01,2024-11-14,36400,5.6,"LP"
"CLP",2033-04-01,2024-11-14,50000,5.97,"LP"
"CLP",2030-09-01,2024-11-19,60000,5.82,"CP"
"CLP",2040-10-01,2024-11-19,37000,5.59,"LP"
"CLP",2055-11-01,2024-11-19,1970,1.9,"LP"
"CLP",2029-10-01,2024-11-21,55000,5.69,"LP"
"CLP",2056-04-01,2024-11-21,80000,5.2,"CP"
"CLP",2027-11-01,2024-11-26,NA,NA,"LP"
"CLP",2033-04-01,2024-11-26,32200,5.76,"LP"
"CLP",2055-11-01,2024-11-26,2000,1.79,"LP"
"CLP",2025-08-26,2025-01-30,4e+05,5,"CP"
"CLP",2027-05-06,2025-01-30,NA,NA,"LP"
"CLP",2056-04-01,2025-01-30,33000,5.8,"LP"
