"Fecha_Subasta","Fecha_Vencimiento","Moneda","Tasa_Corte","Monto","Tipo_Operacion","Tenor","Duracion"
2009-10-01,2010-03-25,"COP",4.141,49999.969152,"SUBASTA","CP",0.47945205479452
2009-10-01,2010-09-09,"COP",4.56,39999.947728,"SUBASTA","CP",0.93972602739726
2009-10-05,2012-08-15,"COP",6.975,69861.960512,"NO COMPETITIVA","LP",2.6208088834224
2009-10-05,2014-05-14,"COP",8.467,69512.126387,"NO COMPETITIVA","LP",3.84032680647395
2009-10-05,2024-07-24,"COP",9.412,69901.615518,"NO COMPETITIVA","LP",8.30988711331204
2009-10-08,2009-12-24,"COP",4.04,59999.912544,"SUBASTA","CP",0.210958904109589
2009-10-08,2010-03-25,"COP",4.1,49999.90744,"SUBASTA","CP",0.46027397260274
2009-10-08,2010-09-09,"COP",4.46,39999.960759,"SUBASTA","CP",0.920547945205479
2009-10-15,2010-01-28,"COP",4.087,59999.92957,"SUBASTA","CP",0.287671232876712
2009-10-15,2010-04-22,"COP",4.15,49999.847295,"SUBASTA","CP",0.517808219178082
2009-10-15,2010-10-07,"COP",4.38,39999.976538,"SUBASTA","CP",0.978082191780822
2009-10-22,2010-01-28,"COP",4.05,59999.98632,"SUBASTA","CP",0.268493150684932
2009-10-22,2010-04-22,"COP",4.09,49999.923974,"SUBASTA","CP",0.498630136986301
2009-10-22,2010-10-07,"COP",4.639,39999.96312,"SUBASTA","CP",0.958904109589041
2009-10-29,2010-01-28,"COP",4.087,59999.913138,"SUBASTA","CP",0.249315068493151
2009-10-29,2010-04-22,"COP",4.089,49999.942803,"SUBASTA","CP",0.479452054794521
2009-10-29,2010-10-07,"COP",4.6,39999.953292,"SUBASTA","CP",0.93972602739726
2009-11-05,2010-01-28,"COP",3.99,59999.940096,"SUBASTA","CP",0.23013698630137
2009-11-05,2010-04-22,"COP",4.139,49999.984269,"SUBASTA","CP",0.46027397260274
2009-11-05,2010-10-07,"COP",4.44,39999.92952,"SUBASTA","CP",0.920547945205479
2009-11-12,2010-02-25,"COP",3.943,59999.97874,"SUBASTA","CP",0.287671232876712
2009-11-12,2010-05-20,"COP",4.097,49999.978652,"SUBASTA","CP",0.517808219178082
2009-11-12,2010-11-04,"COP",4.344,39999.990888,"SUBASTA","CP",0.978082191780822
2009-11-19,2010-02-25,"COP",3.943,59999.931354,"SUBASTA","CP",0.268493150684932
2009-11-19,2010-05-20,"COP",4.07,49999.80938,"SUBASTA","CP",0.498630136986301
2009-11-19,2010-11-04,"COP",4.28,39999.992522,"SUBASTA","CP",0.958904109589041
2009-11-26,2010-02-25,"COP",3.51,59999.96592,"SUBASTA","CP",0.249315068493151
2009-11-26,2010-05-20,"COP",3.58,49999.886328,"SUBASTA","CP",0.479452054794521
2009-11-26,2010-11-04,"COP",3.73,39999.921085,"SUBASTA","CP",0.93972602739726
2009-12-03,2010-02-25,"COP",3.449,59999.949654,"SUBASTA","CP",0.23013698630137
2009-12-03,2010-05-20,"COP",3.49,49999.944036,"SUBASTA","CP",0.46027397260274
2009-12-03,2010-11-04,"COP",3.599,39999.934338,"SUBASTA","CP",0.920547945205479
2009-12-10,2010-03-25,"COP",3.55,59999.964096,"SUBASTA","CP",0.287671232876712
2009-12-10,2010-06-17,"COP",3.6,49999.92577,"SUBASTA","CP",0.517808219178082
2009-12-10,2010-12-02,"COP",3.82,39999.9268,"SUBASTA","CP",0.978082191780822
2009-12-17,2010-03-25,"COP",3.489,59999.908816,"SUBASTA","CP",0.268493150684932
2009-12-17,2010-06-17,"COP",3.583,49999.99404,"SUBASTA","CP",0.498630136986301
2009-12-17,2010-12-02,"COP",4,39999.920661,"SUBASTA","CP",0.958904109589041
2009-12-24,2010-03-25,"COP",3.38,59999.982425,"SUBASTA","CP",0.249315068493151
2009-12-24,2010-06-17,"COP",3.783,49999.945005,"SUBASTA","CP",0.479452054794521
2009-12-24,2010-12-02,"COP",4.173,39999.954846,"SUBASTA","CP",0.93972602739726
2010-01-04,2010-03-25,"COP",3.691,89288.1,"SUBASTA","CP",0.219178082191781
2010-01-04,2010-06-17,"COP",3.871,73731,"SUBASTA","CP",0.449315068493151
2010-01-04,2010-12-02,"COP",4.282,57754.8,"SUBASTA","CP",0.90958904109589
2010-01-07,2010-04-22,"COP",3.695,89065.8,"SUBASTA","CP",0.287671232876712
2010-01-07,2010-07-15,"COP",3.981,73499.25,"SUBASTA","CP",0.517808219178082
