"Periodo","Deuda_Interna","Deuda_Externa","Deuda_Total"
2014-09-30,196047624.506961,74241185.7306158,270288810.237577
2014-10-31,202000099.634236,77552283.3702313,279552383.004467
2014-11-30,198444147.068393,80649797.7648848,279093944.833278
2014-12-31,200098697.555294,89767232.0030864,289865929.558381
2015-01-31,197892476.507079,93317433.4371023,291209909.944181
2015-02-28,200231357.359789,96808713.1763269,297040070.536116
2015-03-31,202187868.821947,102449041.765542,304636910.587489
2015-04-30,203349923.290207,95629504.6983791,298979427.988586
2015-05-31,211794182.919437,100897657.041916,312691839.961353
2015-06-30,208318158.981906,101862301.549811,310180460.531717
2015-07-31,206627454.697093,111895599.645302,318523054.342395
2015-08-31,209186491.686836,119322756.762221,328509248.449056
2015-09-30,218546792.547362,125390173.479751,343936966.027113
2015-10-31,208000714.170864,117680036.325687,325680750.49655
2015-11-30,207015568.295149,123239655.149206,330255223.444355
2015-12-31,211609269.764253,129590463.611659,341199733.375911
2016-01-31,212684390.728119,136367052.996185,349051443.724305
2016-02-01,218573911.622255,136020607.400897,354594519.023153
2016-03-01,222656794.23719,129404223.277007,352061017.514197
2016-04-01,227291506.87014,123851217.380125,351142724.250266
2016-05-01,233216996.563169,132583650.959169,365800647.522339
2016-06-01,232918011.104225,126126625.345405,359044636.449629
2016-07-01,233278203.870309,133388137.450347,366666341.320656
2016-08-01,236432083.283242,126580652.166949,363012735.450191
2016-09-01,239269688.373363,124198517.7701,363468206.143463
2016-10-31,241991639.483867,127416890.57074,369408530.054608
2016-11-30,244867318.635351,136876163.224873,381743481.860224
2016-12-31,243015611.755062,134069787.409326,377085399.164388
2017-01-31,243694978.920678,134875791.704678,378570770.625356
2017-02-28,248369274.381765,132635099.384974,381004373.766739
2017-03-31,253471755.683114,131754601.880973,385226357.564087
2017-04-30,255714577.111018,134693162.99358,390407740.104598
2017-05-31,252718358.562292,133981867.460127,386700226.022419
2017-06-30,250568580.488226,139056306.683072,389624887.171299
2017-07-31,255680551.092722,137569253.962464,393249805.055186
2017-08-31,260374930.472116,140364356.411364,400739286.883481
2017-09-30,261562213.329899,140194808.717995,401757022.047894
2017-10-31,263093997.763489,143149490.537095,406243488.300584
2017-11-30,264923006.854907,142913657.064774,407836663.919681
2017-12-31,269333787.823993,142552124.444866,411885912.268859
2018-01-31,273577976.188431,137883895.087661,411461871.276092
2018-02-28,279079549.26034,138254707.906552,417334257.166892
2018-03-31,280562903.110111,136559326.661862,417122229.771972
2018-04-30,287751137.828142,138016098.675751,425767236.503893
2018-05-31,293744808.956257,140613575.401157,434358384.357414
2018-06-30,296260403.333313,143439062.633929,439699465.967242
2018-07-31,301661661.017793,140107593.370157,441769254.38795
2018-08-31,307983597.124109,146875765.036127,454859362.160236
2018-09-30,311304097.020801,145816613.201452,457120710.222253
2018-10-31,310450473.159654,159009370.388014,469459843.547667
2018-11-30,308263067.742203,161178582.56464,469441650.306843
2018-12-31,309935579.365537,164090347.197096,474025926.562633
2019-01-31,314376105.398295,166260785.354096,480636890.752391
2019-02-28,320423404.144694,161145767.20768,481569171.352374
2019-03-31,324068396.073828,163417445.057295,487485841.131122
2019-04-30,323933778.321229,165921112.459956,489854890.781185
2019-05-31,324423344.803967,170961465.596266,495384810.400234
2019-06-30,332678152.961587,163262612.251195,495940765.212783
2019-07-31,340239053.44169,167530632.20394,507769685.645629
2019-08-31,342936887.395065,175067999.259695,518004886.65476
2019-09-30,334736518.848073,176054321.494435,510790840.342507
2019-10-31,336864304.712266,172592048.504435,509456353.216701
2019-11-30,340030035.492738,178538620.549979,518568656.042717
2019-12-31,331298877.003131,169507573.766479,500806450.76961
2020-01-31,347651417.062295,182181203.326574,529832620.388869
2020-02-29,351954238.276727,183968380.647799,535922618.924527
2020-03-31,352285242.523512,215454737.748304,567739980.271816
2020-04-30,350469690.424978,217474511.48853,567944201.913508
2020-05-31,367452406.299281,208492467.442216,575944873.741497
2020-06-30,365373950.153937,219728818.913327,585102769.067264
